t (s),Intensity
0,1.0E-100
1.37E-07,1.0E-100
1.37E-07,0.000883826
1.37E-07,0.002717065
1.37E-07,0.007575677
1.37E-07,0.019157172
1.37E-07,0.043936934
1.37E-07,0.091393755
1.37E-07,0.172421624
1.37E-07,0.295022656
1.37E-07,0.457833362
1.37E-07,0.644388725
1.37E-07,0.822577562
1.37E-07,0.9523448
1.37E-07,1
1.37E-07,0.9523448
1.37E-07,0.822577562
1.37E-07,0.644388725
1.37E-07,0.457833362
1.37E-07,0.295022656
1.37E-07,0.172421624
1.37E-07,0.091393755
1.37E-07,0.043936934
1.37E-07,0.019157172
1.37E-07,0.007575677
1.37E-07,0.002717065
1.37E-07,0.000883826
1.37E-07,0
1.00E-06,0
